Metric,Value
Portfolio Holdings,10
Total Weight,1.0
Invested Weight,1.0
Cash Weight,0.0
Largest Position,0.1047423883705045
Smallest Position,0.08505262320195771
Average Position,0.1
Median Position,0.1047423883705045
Sector Count,7
Largest Sector,Automobile and Auto Components
Largest Sector Weight,0.209484776741009
Expected Return,
Portfolio Beta,
Portfolio Volatility,
