signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-06-04,2026-06-05,2026-07-16,29,TIME,DOWNTREND,280.3,278.9,278.9,295.63,273.7,279.35,0.16,-0.04,False,False,0.0,-18.28,-4.4,35.17,-6.53,1.93,1.14,-2.08,23.93,8.86,-31.4,-119210127.0,0.5,
2026-06-02,2026-06-03,2026-06-03,1,STOP,DOWNTREND,283.25,281.83,281.83,298.74,275.8,275.8,-2.14,-2.34,False,False,0.0,-17.7,-4.12,34.89,-6.23,1.84,1.06,-1.94,19.18,1.96,-30.68,-103485255.0,0.5,
2026-04-29,2026-04-30,2026-05-27,19,STOP,DOWNTREND,307.86,306.32,306.32,324.7,291.7,291.7,-4.77,-4.97,False,False,0.0,-13.55,4.76,62.77,4.7,1.84,1.56,1.48,18.33,105.21,-25.97,68769311.0,0.5,
2026-04-21,2026-04-22,2026-06-01,28,STOP,DOWNTREND,301.44,299.93,299.93,317.93,283.59,283.59,-5.45,-5.65,False,False,0.0,-16.04,3.72,57.26,5.02,1.85,1.02,2.1,23.49,96.04,-27.52,149383594.0,0.5,
2026-03-25,2026-03-27,2026-03-30,1,STOP,DOWNTREND,287.86,286.42,286.42,303.6,279.45,279.45,-2.43,-2.63,False,False,0.0,-21.58,-3.39,36.52,-4.3,2.29,1.11,-0.87,34.48,18.3,-30.78,14701369.0,0.5,
2026-02-06,2026-02-09,2026-03-23,29,STOP,DOWNTREND,317.16,315.57,315.57,334.51,285.96,285.96,-9.38,-9.58,False,False,0.0,-17.17,1.98,45.81,2.39,2.51,2.72,2.66,62.0,71.25,-27.02,54237350.0,0.5,
2026-01-30,2026-02-02,2026-02-02,1,STOP,DOWNTREND,307.17,305.63,295.06,312.76,300.21,295.06,0.0,-0.2,False,False,0.0,-20.27,-3.06,23.89,-3.76,1.98,1.31,0.82,67.51,23.83,-29.32,-36486813.0,4.1,
2025-09-04,2025-09-05,2025-10-20,30,TIME,DOWNTREND,396.56,394.58,394.58,418.25,376.39,393.84,-0.19,-0.39,False,False,0.0,-0.68,1.72,57.37,2.43,1.44,1.81,1.09,15.64,80.9,-15.46,56573655.0,0.5,
2025-03-05,2025-03-06,2025-04-15,24,TARGET,DOWNTREND,379.23,377.33,377.33,399.97,364.21,401.84,6.49,5.04,False,False,0.0,-8.88,-1.03,42.35,-0.05,2.16,1.1,0.08,25.87,41.35,-19.15,-31761732.0,0.5,
2025-02-25,2025-02-27,2025-02-28,1,STOP,DOWNTREND,379.04,377.14,377.14,399.77,369.01,369.01,-2.16,-2.36,False,False,0.0,-8.94,-3.75,34.23,-1.69,2.04,1.06,-1.18,24.18,28.0,-19.19,-31442058.0,0.5,
2024-10-01,2024-10-03,2024-10-04,1,STOP,UPTREND,458.14,455.85,451.35,519.05,446.51,446.51,-1.07,-1.27,False,False,0.0,15.53,0.52,56.58,1.66,1.55,0.44,-0.31,15.73,62.15,-2.33,25388605.0,1.5,
2024-09-30,2024-10-01,2024-10-04,2,STOP,UPTREND,459.87,457.57,457.57,526.2,446.47,446.47,-2.43,-2.63,False,False,0.0,16.07,0.97,58.99,1.38,1.58,0.88,-0.04,16.4,72.45,-1.96,19784062.0,0.5,
2024-09-27,2024-09-30,2024-10-04,3,STOP,UPTREND,463.9,461.59,461.59,530.82,446.5,446.5,-3.27,-3.47,False,False,0.0,17.18,1.93,64.98,1.72,1.54,1.41,0.15,17.11,95.6,-1.1,22899334.0,0.5,
2024-09-24,2024-09-25,2024-10-04,6,STOP,UPTREND,457.29,455.01,455.01,523.26,446.47,446.47,-1.88,-2.08,False,False,0.0,15.83,1.06,59.3,0.32,1.59,0.55,-0.6,17.7,74.28,-1.01,41344298.0,0.5,
2024-09-23,2024-09-24,2024-10-04,7,STOP,UPTREND,458.8,456.51,456.51,524.98,446.39,446.39,-2.22,-2.42,False,False,0.0,16.34,1.54,61.31,1.02,1.65,0.63,-0.7,18.36,83.93,-0.68,59692033.0,0.5,
2024-09-16,2024-09-17,2024-10-09,15,STOP,UPTREND,453.61,451.34,451.34,519.04,439.22,439.22,-2.68,-2.88,False,False,0.0,15.59,0.73,57.09,0.21,1.77,0.67,-0.48,24.03,65.92,-1.81,19046449.0,0.5,
2024-09-13,2024-09-16,2024-10-09,16,STOP,UPTREND,456.05,453.77,453.77,521.84,439.19,439.19,-3.21,-3.41,False,False,0.0,16.33,1.37,59.79,2.38,1.78,0.78,-0.18,25.7,79.43,-1.28,43365383.0,0.5,
2024-09-12,2024-09-13,2024-10-09,17,STOP,UPTREND,461.06,458.76,458.76,527.57,439.17,439.17,-4.27,-4.47,False,False,0.0,17.73,2.6,65.73,2.85,1.78,1.59,-0.02,27.07,107.39,-0.19,37007111.0,0.5,
2024-09-11,2024-09-12,2024-10-09,18,STOP,UPTREND,456.49,454.21,454.21,522.34,439.22,439.22,-3.3,-3.5,False,False,0.0,16.69,1.85,62.59,3.43,1.76,1.35,-0.38,28.56,91.18,-0.99,37311481.0,0.5,
2024-08-23,2024-08-26,2024-10-08,30,TIME,UPTREND,448.91,446.66,446.66,513.66,431.29,450.81,0.93,0.58,False,False,0.0,16.24,2.0,67.52,2.23,1.82,0.63,-0.62,39.44,90.14,-0.95,6157417.0,0.5,
2024-08-22,2024-08-23,2024-10-07,30,TIME,UPTREND,447.8,445.56,445.56,512.39,431.25,452.81,1.63,1.14,False,False,0.0,16.07,1.91,66.77,2.42,1.86,0.64,-0.7,39.47,90.47,-1.19,19311937.0,0.5,
2024-08-21,2024-08-22,2024-10-04,30,TIME,UPTREND,448.55,446.31,446.31,513.25,431.08,446.91,0.13,-0.07,False,False,0.0,16.38,2.19,67.75,3.93,1.89,0.58,-0.79,39.14,100.11,-1.03,39318759.0,0.5,
2024-08-19,2024-08-20,2024-10-01,30,TIME,UPTREND,445.05,442.82,442.82,509.24,423.43,458.14,3.46,2.61,False,False,0.0,15.68,1.86,66.88,2.53,1.95,0.58,-1.04,38.92,80.04,-1.8,26635459.0,0.5,
2024-08-16,2024-08-19,2024-09-30,30,TIME,UPTREND,446.11,443.88,443.88,510.46,423.43,459.87,3.6,2.72,False,False,0.0,16.07,2.39,68.22,1.81,1.95,0.72,-1.25,38.66,85.4,-1.57,15085804.0,0.5,
2024-07-31,2024-08-01,2024-09-13,30,TIME,UPTREND,439.63,437.43,437.43,503.05,408.21,456.05,4.26,3.24,False,False,0.0,15.26,5.89,70.12,6.4,2.19,0.59,1.87,44.97,79.21,-3.0,116984110.0,0.5,
2024-07-29,2024-07-30,2024-09-11,30,TIME,UPTREND,440.25,438.05,438.05,503.76,403.29,456.49,4.21,3.21,False,False,0.0,15.61,7.54,73.54,8.06,2.26,0.64,3.36,43.74,84.96,-2.86,149266736.0,0.5,
2024-07-26,2024-07-29,2024-09-10,30,TIME,UPTREND,445.71,443.48,443.48,510.0,402.11,455.83,2.78,2.07,False,False,0.0,17.14,9.72,79.61,9.5,2.21,1.05,3.87,42.12,94.98,-1.65,181938037.0,0.5,
2024-07-24,2024-07-25,2024-09-06,30,TIME,UPTREND,438.48,436.29,434.88,500.12,393.96,445.27,2.39,1.75,False,False,0.0,15.41,9.64,80.44,9.16,2.11,2.08,3.95,38.92,97.96,-3.25,186461835.0,0.83,
2024-03-22,2024-03-26,2024-05-13,30,TIME,DOWNTREND,373.5,371.64,370.85,393.1,345.96,376.34,1.48,1.02,False,False,0.0,-2.42,3.78,59.2,3.64,2.2,1.6,2.22,26.32,110.24,-12.92,-14682412.0,0.72,
2024-02-09,2024-02-12,2024-02-12,1,STOP,DOWNTREND,362.09,360.28,360.28,381.9,353.91,353.91,-1.77,-1.97,False,False,0.0,-5.44,-6.34,27.76,-7.42,2.39,1.8,-3.28,28.2,7.46,-15.58,-76140270.0,0.5,
2023-08-24,2023-08-25,2023-08-31,4,STOP,UPTREND,387.03,385.1,385.1,442.86,374.63,374.63,-2.72,-2.92,False,False,0.0,15.62,-0.76,45.99,-1.69,1.82,0.58,-0.3,18.12,38.67,-9.77,18518252.0,0.5,
2023-08-22,2023-08-23,2023-08-31,6,STOP,UPTREND,389.91,387.96,387.96,446.15,374.54,374.54,-3.46,-3.66,False,False,0.0,16.8,-0.39,48.63,-0.14,1.89,0.77,-0.95,20.75,44.88,-9.1,24461258.0,0.5,
2023-07-21,2023-07-24,2023-07-25,1,STOP,UPTREND,420.98,418.87,418.87,481.71,396.28,396.28,-5.4,-5.6,False,False,0.0,30.75,4.95,76.67,4.71,1.66,1.48,1.02,46.85,91.97,-1.46,6411831.0,0.5,
2023-07-20,2023-07-21,2023-07-25,2,STOP,UPTREND,422.44,420.33,420.33,483.38,396.32,396.32,-5.71,-5.91,False,False,0.0,31.5,5.8,79.23,3.85,1.61,2.23,0.76,45.07,100.65,-0.31,13316416.0,0.5,
2023-07-11,2023-07-12,2023-08-17,25,STOP,UPTREND,406.13,404.1,404.1,464.71,378.74,378.74,-6.28,-6.48,False,False,0.0,28.24,3.82,69.7,6.16,1.62,1.0,0.84,39.47,89.7,-1.56,37534144.0,0.5,
2023-07-07,2023-07-10,2023-08-17,27,STOP,UPTREND,402.05,400.04,400.04,460.05,378.36,378.36,-5.42,-5.62,False,False,0.0,27.46,3.5,68.51,4.64,1.62,0.86,1.24,38.92,85.78,-2.55,34886124.0,0.5,
2023-07-06,2023-07-07,2023-08-17,28,STOP,UPTREND,406.77,404.74,404.74,465.45,378.37,378.37,-6.52,-6.72,False,False,0.0,29.22,5.01,76.21,6.01,1.6,1.11,1.49,37.91,103.3,-1.4,49384336.0,0.5,
2023-07-05,2023-07-06,2023-08-17,29,STOP,UPTREND,407.8,405.76,405.76,466.63,378.36,378.36,-6.76,-6.96,False,False,0.0,29.81,5.63,77.99,4.91,1.61,1.93,1.18,36.14,118.21,-1.15,52927275.0,0.5,
