ticker,expectancy,win_rate,cagr_%,max_drawdown_%,profit_factor,reward_risk_ratio,run_id,timestamp,date
RVNL,3.47,46.2,-21.56,-82.89,2.23,2.61,20260726_212606,2026-07-26 21:26:06.064703,2026-07-26
LAURUSLABS,2.12,48.5,-15.82,-80.69,1.92,2.04,20260726_212606,2026-07-26 21:26:06.064703,2026-07-26
RVNL,3.47,46.2,-21.56,-82.89,2.23,2.61,20260726_212606,2026-07-26 21:26:06.064703,
LAURUSLABS,2.12,48.5,-15.82,-80.69,1.92,2.04,20260726_212606,2026-07-26 21:26:06.064703,
