ticker,regime_today,day_chg_%,above_50dma,run_id,timestamp,date
RVNL,,-0.86,True,20260726_212606,2026-07-26 21:26:06.064703,2026-07-26
LAURUSLABS,UPTREND,1.47,True,20260726_212606,2026-07-26 21:26:06.064703,2026-07-26
RVNL,,-0.86,True,20260726_212606,2026-07-26 21:26:06.064703,
LAURUSLABS,UPTREND,1.47,True,20260726_212606,2026-07-26 21:26:06.064703,
