schema_version,run_id,scan_date,scan_time,scan_timestamp,ticker,company,sector,subsector,exchange,strategy,recommendation,signals_today,confidence,rank_score,portfolio_rank,regime_today,open,high,low,close,cmp,volume,entry,target,stop_loss,target_hold_days,expected_return_pct,expected_return_points,risk_pct,risk_points,risk_reward,atr_pct,rsi,roc,volume_ratio,above_50dma,above_200dma,trade_status,remarks
1.0.0,20260731_114724,2026-07-31,11:47:24,2026-07-31 11:47:24.517490,NESTLEIND,,Fast Moving Consumer Goods,,NSE,PASS_combined,WATCH,0.0,0.0,0.0,,,1529.0,1529.0,1505.9,1508.8,1508.8,787658.0,1508.8,1659.68,1442.74,20.0,10.0,150.88,4.38,66.06,2.28,2.19,63.68,5.72,0.34,1.0,1.0,WATCH,limited history: 8.6y (<10y) - lower confidence
1.0.0,20260731_114724,2026-07-31,11:47:24,2026-07-31 11:47:24.517490,PAYTM,,Financial Services,,NSE,PASS_combined,WATCH,0.0,0.0,0.0,,,1322.2,1349.0,1322.2,1343.6,1343.6,704062.0,1343.6,1477.96,1259.99,8.5,10.0,134.36,6.22,83.61,1.61,3.11,64.68,-0.33,0.2,1.0,1.0,WATCH,limited history: 4.7y (<10y) - lower confidence
1.0.0,20260731_114724,2026-07-31,11:47:24,2026-07-31 11:47:24.517490,PHOENIXLTD,,Realty,,NSE,PASS_combined,WATCH,0.0,0.0,0.0,,,1889.1,1913.6,1881.1,1910.6,1910.6,153238.0,1910.6,2101.66,1802.75,10.0,10.0,191.06,5.64,107.85,1.77,2.82,39.72,-7.96,0.17,0.0,1.0,WATCH,limited history: 8.6y (<10y) - lower confidence
1.0.0,20260731_114724,2026-07-31,11:47:24,2026-07-31 11:47:24.517490,POLYCAB,,Capital Goods,,NSE,PASS_combined,WATCH,0.0,4.18,5.52,,,8924.0,9130.0,8924.0,9097.5,9097.5,177061.0,9097.5,10007.25,8646.95,15.0,10.0,909.75,4.95,450.55,2.02,2.48,47.31,2.66,0.48,0.0,1.0,WATCH,limited history: 7.3y (<10y) - lower confidence
1.0.0,20260731_114724,2026-07-31,11:47:24,2026-07-31 11:47:24.517490,RBLBANK,,Financial Services,,NSE,PASS_combined,BUY,1.0,0.0,0.0,,UPTREND,380.0,381.8,373.65,376.3,376.3,2193698.0,376.3,413.93,356.21,10.0,10.0,37.63,5.34,20.09,1.87,2.67,57.58,2.23,0.32,1.0,1.0,NEW,limited history: 8.6y (<10y) - lower confidence
1.0.0,20260731_114724,2026-07-31,11:47:24,2026-07-31 11:47:24.517490,RVNL,,Construction,,NSE,PASS_combined,WATCH,0.0,20.4,10.2,,,223.95,226.25,222.1,224.58,224.58,1904646.0,224.58,247.04,214.62,9.0,10.0,22.46,4.43,9.96,2.26,2.22,41.03,-0.38,0.48,0.0,0.0,WATCH,limited history: 7.3y (<10y) - lower confidence
1.0.0,20260731_114724,2026-07-31,11:47:24,2026-07-31 11:47:24.517490,SAIL,,Metals & Mining,,NSE,PASS_combined,WATCH,0.0,0.0,0.0,,,169.66,171.85,167.97,168.53,168.53,4816370.0,168.53,185.38,158.6,8.5,10.0,16.85,5.89,9.93,1.7,2.95,50.16,3.37,0.37,0.0,1.0,WATCH,limited history: 8.6y (<10y) - lower confidence
1.0.0,20260731_114724,2026-07-31,11:47:24,2026-07-31 11:47:24.517490,SUZLON,,Capital Goods,,NSE,PASS_combined,WATCH,0.0,6.13,3.55,,,47.56,48.11,47.13,47.92,47.92,28490670.0,47.92,52.71,44.72,7.0,10.0,4.79,6.68,3.2,1.5,3.34,28.98,-7.83,0.4,0.0,0.0,WATCH,limited history: 8.6y (<10y) - lower confidence
1.0.0,20260731_114724,2026-07-31,11:47:24,2026-07-31 11:47:24.517490,TMPV,,Automobile and Auto Components,,NSE,PASS_combined,WATCH,0.0,1.6,1.61,,,335.55,338.55,334.5,338.1,338.1,3601980.0,338.1,371.91,323.46,13.0,10.0,33.81,4.33,14.64,2.31,2.17,49.52,0.74,0.46,0.0,0.0,WATCH,limited history: 8.6y (<10y) - lower confidence
1.0.0,20260731_114724,2026-07-31,11:47:24,2026-07-31 11:47:24.517490,VEDL,,Metals & Mining,,NSE,PASS_combined,WATCH,0.0,3.08,1.82,,,268.8,269.0,263.0,266.7,266.7,8206829.0,266.7,293.37,251.49,12.0,10.0,26.67,5.7,15.21,1.75,2.85,41.92,5.39,0.71,0.0,0.0,WATCH,limited history: 8.6y (<10y) - lower confidence
