ticker,regime_today,day_chg_%,above_50dma,run_id,timestamp,date
LAURUSLABS,UPTREND,1.96,True,20260731_183252,2026-07-31 18:32:52.395937+05:30,2026-07-31
ABDL,,-4.46,True,20260731_183252,2026-07-31 18:32:52.395937+05:30,2026-07-31
COFORGE,,-1.26,True,20260731_183252,2026-07-31 18:32:52.395937+05:30,2026-07-31
JBMA,,-2.96,False,20260731_183252,2026-07-31 18:32:52.395937+05:30,2026-07-31
BAJAJ-AUTO,UPTREND,0.77,True,20260731_183252,2026-07-31 18:32:52.395937+05:30,2026-07-31
BANKINDIA,,0.53,False,20260731_183252,2026-07-31 18:32:52.395937+05:30,2026-07-31
DIXON,,-2.02,True,20260731_183252,2026-07-31 18:32:52.395937+05:30,2026-07-31
IEX,,0.64,True,20260731_183252,2026-07-31 18:32:52.395937+05:30,2026-07-31
ACE,,1.24,True,20260731_183252,2026-07-31 18:32:52.395937+05:30,2026-07-31
APARINDS,UPTREND,4.39,False,20260731_183252,2026-07-31 18:32:52.395937+05:30,2026-07-31
