Metric,Value
Portfolio Holdings,2
Total Weight,1.0
Invested Weight,1.0
Cash Weight,0.0
Largest Position,0.5
Smallest Position,0.5
Average Position,0.5
Median Position,0.5
Sector Count,1
Largest Sector,UNKNOWN
Largest Sector Weight,1.0
Expected Return,
Portfolio Beta,
Portfolio Volatility,
