signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-05-04,2026-05-05,2026-05-14,7,STOP,DOWNTREND,13580.0,13512.1,13512.1,14322.83,12956.7,12956.7,-4.11,-4.31,False,False,0.0,-8.3,2.27,55.7,0.97,2.73,1.29,57.0,18.52,77.55,-21.82,419062.0,0.5,
2026-03-16,2026-03-17,2026-04-08,13,TARGET,DOWNTREND,12757.0,12693.22,12693.22,13454.81,12061.87,13454.81,6.0,4.64,False,False,0.0,-13.26,-11.03,27.59,-14.13,3.3,2.98,-179.87,38.18,4.09,-26.56,-2038887.0,0.5,
2026-01-13,2026-01-14,2026-01-21,5,STOP,UPTREND,16426.0,16343.87,16343.87,18795.45,15763.98,15675.0,-4.09,-4.29,False,False,0.0,16.48,-1.35,46.92,-1.33,1.77,1.01,-58.46,23.71,27.69,-5.43,395911.0,0.5,
2026-01-12,2026-01-13,2026-01-16,3,STOP,UPTREND,16582.0,16499.09,16499.09,18973.95,15941.21,15941.21,-3.38,-3.58,False,False,0.0,17.78,-0.41,50.83,0.24,1.68,0.95,-39.7,25.4,43.26,-4.54,1763959.0,0.5,
2026-01-09,2026-01-12,2026-01-16,4,STOP,UPTREND,16501.0,16418.49,16418.5,18881.27,15870.62,15870.62,-3.34,-3.54,False,False,0.0,17.41,-0.88,48.78,-0.57,1.66,0.92,-25.04,26.7,35.59,-5.0,1223477.0,0.5,
2026-01-08,2026-01-09,2026-01-16,5,STOP,UPTREND,16664.0,16580.68,16580.68,19067.78,16034.81,16000.0,-3.5,-3.7,False,False,0.0,18.78,0.18,52.92,-0.23,1.64,0.77,5.83,28.73,52.78,-4.06,1296854.0,0.5,
2026-01-07,2026-01-08,2026-01-14,4,STOP,UPTREND,16809.0,16724.95,16724.95,19233.7,16178.33,16178.33,-3.27,-3.47,False,False,0.0,20.03,1.25,56.91,1.35,1.63,1.37,35.06,30.38,67.24,-3.23,1793761.0,0.5,
2026-01-06,2026-01-07,2026-01-07,1,STOP,UPTREND,17292.0,17205.54,17205.54,19786.37,16735.02,16735.02,-2.73,-2.93,False,False,0.0,23.72,4.4,74.21,3.86,1.36,0.63,61.07,32.15,106.54,-0.45,2006090.0,0.5,
2025-12-31,2026-01-01,2026-01-14,9,STOP,UPTREND,16697.0,16613.51,16613.52,19105.54,16163.68,16163.68,-2.71,-2.91,False,False,0.0,20.42,1.91,62.18,2.1,1.35,1.03,17.79,25.64,83.25,-0.72,1623590.0,0.5,
2025-12-26,2025-12-29,2026-01-16,14,STOP,UPTREND,16596.0,16513.02,16513.02,18989.97,16069.8,16000.0,-3.11,-3.31,False,False,0.0,20.36,1.81,60.23,2.14,1.34,0.75,31.83,24.27,81.14,-0.74,528472.0,0.5,
2025-12-24,2025-12-26,2026-01-14,13,STOP,UPTREND,16703.0,16619.49,16619.48,19112.41,16170.94,16170.94,-2.7,-2.9,False,False,0.0,21.36,2.68,64.23,4.27,1.34,0.89,38.89,24.05,95.11,-0.1,1010098.0,0.5,
2025-12-22,2025-12-23,2026-01-14,15,STOP,UPTREND,16649.0,16565.76,16565.76,19050.62,16099.96,16099.96,-2.81,-3.01,False,False,0.0,21.41,2.74,63.97,2.85,1.4,0.93,33.75,22.99,101.13,-0.26,397500.0,0.5,
2025-12-12,2025-12-15,2026-01-16,23,STOP,UPTREND,16522.0,16439.39,16439.39,18905.3,15926.98,15926.98,-3.12,-3.32,False,False,0.0,21.62,2.99,63.07,3.91,1.55,1.21,36.53,21.51,114.42,-0.83,519177.0,0.5,
2025-12-03,2025-12-04,2026-01-16,30,TIME,UPTREND,16082.0,16001.59,16001.59,18401.83,15498.75,15859.0,-0.89,-1.09,False,False,0.0,19.49,1.51,54.64,1.99,1.56,0.81,34.32,22.71,77.72,-3.47,270970.0,0.5,
2025-12-02,2025-12-03,2026-01-15,30,TIME,UPTREND,16239.0,16157.81,16157.8,18581.48,15652.9,16152.0,-0.04,-0.24,False,False,0.0,20.8,2.73,60.01,1.94,1.55,1.1,38.62,22.73,96.54,-2.53,248933.0,0.5,
2025-11-26,2025-11-27,2026-01-09,30,TIME,UPTREND,16156.0,16075.22,16075.22,18486.5,15564.67,16501.0,2.65,1.96,False,False,0.0,20.74,2.19,59.43,2.93,1.58,0.83,31.39,22.17,84.9,-3.03,815027.0,0.5,
2025-11-24,2025-11-25,2026-01-07,30,TIME,UPTREND,15958.0,15878.21,15878.21,18259.94,15371.28,16809.0,5.86,4.53,False,False,0.0,19.54,0.73,53.9,2.41,1.59,1.37,14.49,21.99,59.92,-4.21,1140145.0,0.5,
2025-11-19,2025-11-20,2026-01-02,30,TIME,UPTREND,15768.0,15689.16,15689.16,18042.53,15187.02,16960.0,8.1,6.32,False,False,0.0,18.64,-0.89,47.7,2.56,1.59,0.82,-14.77,22.72,39.82,-5.35,1761328.0,0.5,
2025-11-18,2025-11-19,2026-01-01,30,TIME,UPTREND,15930.0,15850.35,15850.35,18227.9,15345.74,16708.0,5.41,4.17,False,False,0.0,20.03,-0.07,53.17,1.78,1.58,1.1,-18.55,23.38,49.18,-4.38,1298914.0,0.5,
2025-10-30,2025-10-31,2025-11-03,1,STOP,UPTREND,16206.0,16124.97,16124.97,18543.72,15638.86,15638.86,-3.01,-3.21,False,False,0.0,24.31,-0.01,56.67,-0.04,1.5,0.74,-71.47,44.91,49.69,-2.73,156332.0,0.5,
2025-10-27,2025-10-28,2025-11-03,4,STOP,UPTREND,16388.0,16306.06,16306.06,18751.97,15833.54,15833.54,-2.9,-3.1,False,False,0.0,26.37,1.22,65.55,0.76,1.44,0.61,-49.45,49.59,76.45,-1.63,305404.0,0.5,
2025-10-23,2025-10-24,2025-11-03,6,STOP,UPTREND,16393.0,16311.03,16311.04,18757.69,15819.86,15819.86,-3.01,-3.21,False,False,0.0,26.86,1.3,68.38,2.38,1.5,1.26,-41.23,51.77,78.91,-1.6,426627.0,0.5,
2025-10-20,2025-10-21,2025-11-03,8,STOP,UPTREND,16424.0,16341.88,16341.88,18793.16,15847.72,15847.72,-3.02,-3.22,False,False,0.0,27.59,1.76,69.87,2.66,1.5,0.9,-40.67,52.62,88.77,-0.76,961178.0,0.5,
2025-10-08,2025-10-09,2025-11-04,17,STOP,UPTREND,16012.0,15931.94,15931.94,18321.73,15383.76,15383.76,-3.44,-3.64,False,False,0.0,26.56,1.19,64.67,-0.53,1.71,0.63,-84.63,60.63,62.82,-2.57,803560.0,0.5,
2025-10-07,2025-10-08,2025-11-04,18,STOP,UPTREND,16108.0,16027.46,16027.46,18431.58,15476.65,15476.65,-3.44,-3.64,False,False,0.0,27.58,2.01,68.19,1.85,1.71,0.66,-80.61,61.79,70.93,-1.99,1983192.0,0.5,
2025-10-03,2025-10-06,2025-11-19,30,TIME,UPTREND,15806.0,15726.97,15726.97,18086.02,15172.01,15768.0,0.26,0.05,False,False,0.0,25.69,0.72,62.5,-0.07,1.76,0.89,-80.49,65.16,56.58,-3.83,1734578.0,0.5,
2025-10-01,2025-10-03,2025-11-06,22,STOP,UPTREND,15965.0,15885.17,15885.18,18267.95,15331.99,15331.99,-3.48,-3.68,False,False,0.0,27.19,2.1,68.32,1.04,1.73,0.78,-55.61,67.3,66.96,-2.86,2846969.0,0.5,
2025-09-30,2025-10-01,2025-11-04,22,STOP,UPTREND,16029.0,15948.85,15948.86,18341.18,15392.96,15392.96,-3.49,-3.69,False,False,0.0,27.95,2.85,70.78,2.93,1.73,0.71,-35.75,68.82,72.11,-2.47,3898030.0,0.5,
