signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-06-15,2026-06-16,2026-06-19,3,TARGET,DOWNTREND,1265.7,1259.37,1259.37,1334.93,1351.91,1351.9,7.35,5.72,True,False,10.91,-9.78,3.75,58.6,4.16,2.36,2.01,4.67,14.81,110.31,-29.66,2004840.0,0.5,
2026-04-08,2026-04-09,2026-04-17,5,TARGET,DOWNTREND,1287.4,1280.96,1280.96,1357.82,1370.63,1370.0,6.95,5.4,True,False,7.26,-13.85,7.48,57.63,8.11,3.67,2.02,13.86,28.29,111.45,-29.03,5848681.0,0.5,
2026-02-04,2026-02-05,2026-02-13,6,STOP,DOWNTREND,1366.3,1359.47,1359.47,1441.04,1338.34,1338.34,-1.55,-1.75,False,False,3.86,-11.02,-0.52,47.05,1.89,3.59,1.4,1.56,35.28,46.9,-24.68,-1668469.0,0.5,
2026-02-03,2026-02-04,2026-02-13,7,TRAIL,DOWNTREND,1343.0,1336.29,1336.28,1416.46,1337.56,1337.56,0.1,-0.1,False,False,5.67,-12.5,-2.53,43.86,-5.08,3.7,2.85,-3.53,36.94,35.46,-25.97,-8112295.0,0.5,
2026-01-28,2026-01-29,2026-01-30,1,STOP,DOWNTREND,1356.9,1350.12,1350.12,1431.12,1303.56,1303.56,-3.45,-3.65,False,False,0.7,-11.45,-3.63,37.66,-4.44,2.75,1.16,-4.65,36.15,24.61,-25.2,-6226505.0,0.5,
2026-01-22,2026-01-23,2026-01-27,1,STOP,DOWNTREND,1356.6,1349.82,1349.82,1430.81,1320.89,1320.89,-2.14,-2.34,False,False,1.79,-11.32,-4.92,32.71,-5.67,2.61,1.01,-6.12,35.43,8.39,-25.22,-3717471.0,0.5,
2025-07-10,2025-07-11,2025-07-25,10,STOP,UPTREND,1733.07,1724.4,1720.97,1979.11,1637.45,1637.45,-4.85,-5.05,False,False,1.09,17.57,0.6,56.79,0.02,2.95,0.51,-11.91,25.63,55.36,-12.19,5926813.0,0.7,
2025-07-09,2025-07-10,2025-07-14,2,STOP,UPTREND,1747.25,1738.52,1738.52,1999.3,1666.59,1666.59,-4.14,-4.34,False,False,1.83,18.63,1.72,59.42,0.99,2.97,0.42,-10.29,26.59,64.17,-11.47,10812904.0,0.5,
2025-07-07,2025-07-08,2025-07-11,3,STOP,UPTREND,1764.12,1755.3,1755.3,2018.59,1674.33,1674.33,-4.61,-4.81,False,False,1.43,20.0,2.67,62.88,3.2,3.01,0.59,-6.78,29.48,71.63,-10.62,15094398.0,0.5,
2025-07-04,2025-07-07,2025-07-11,4,STOP,UPTREND,1748.25,1739.5,1739.5,2000.43,1673.29,1673.29,-3.81,-4.01,False,False,2.35,19.05,1.71,61.11,4.55,3.06,1.16,-5.82,30.51,63.61,-11.42,19720943.0,0.5,
2025-07-03,2025-07-04,2025-07-11,5,STOP,UPTREND,1790.3,1781.35,1781.35,2048.55,1687.02,1687.02,-5.3,-5.5,False,False,0.51,22.07,4.11,69.27,10.2,2.89,0.67,-3.16,31.62,82.53,-9.29,28305115.0,0.5,
2025-07-02,2025-07-03,2025-07-11,6,STOP,UPTREND,1764.61,1755.79,1755.79,2019.16,1690.71,1690.71,-3.71,-3.91,False,False,2.24,20.5,2.7,66.75,5.87,2.96,0.59,-3.93,31.73,71.9,-10.59,22310514.0,0.5,
